intent	examples
greetings	Доброго воскресного утра
greetings	Доброго времени суток
greetings	Добрый здравствуйте
greetings	Добрый деньповторяю
greetings	Доброе время суток
greetings	Добрый деньвопрос
greetings	Добрый деньДобрый
greetings	Доброго здоровья
greetings	Добрый деньЕлена
greetings	Добрый денькакие
greetings	Доброго здравия
greetings	Доброго времени
greetings	Доброго времена
greetings	Добрый денькуда
greetings	Добрыйдень Есть
greetings	Добрый день1как
greetings	Добрый деньдень
greetings	С добрым утром
greetings	Доброго вечера
greetings	деньПодскажите
greetings	Доброе времени
greetings	Доброе утречко
greetings	Добрый день1Мы
greetings	Добрый деньКак
greetings	Добрый вДобрый
greetings	Добрый деньГде
greetings	Добрый деньчто
greetings	Доброло вечера
greetings	Добрейший день
greetings	Добрывйц день
greetings	Доброый вечер
greetings	Добрый Вопрос
greetings	Добрый вечер 
greetings	Добрый вечер1
greetings	Добрый вечерю
greetings	Добрый1 вечер
greetings	Добрый весчер
greetings	Доброе уттро1
greetings	Доброго время
greetings	Добрый двечер
greetings	Добрый деьПри
greetings	Добрывый день
greetings	Добритый день
greetings	Добрый вечере
greetings	Добрый деньип
greetings	Добрый веечер
greetings	Добрый вечер
greetings	Здравствуйте
greetings	Добрый вечкр
greetings	Добрыйф день
greetings	Добрый дщень
greetings	Доброе время
greetings	Добрыцй день
greetings	Добрый деньЁ
greetings	Доброе утрро
greetings	Доброго утра
greetings	Доброе утро1
greetings	Добрый день1
greetings	Добрый вечеп
greetings	Добрый денть
greetings	Доброе уторо
greetings	Добрый деньт
greetings	Добрыйц день
greetings	Добрый день?
greetings	Добрый день/
greetings	Добры й день
greetings	Доброе уутро
greetings	Добрый день 
greetings	Добрый деньэ
greetings	Добрый джень
greetings	Добрыый день
greetings	Добрый деень
greetings	Добрый деньб
greetings	Добрый деньь
greetings	Добрый ждень
greetings	Добрый1 день
greetings	Добрыйвечер1
greetings	Добрый1вечер
greetings	Добрый веечр
greetings	Добрый вдень
greetings	Добрыйпвечер
greetings	Доброе утрор
greetings	Добрвй вечер
